City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,nova olimpia,-14.7972,-57.2881,33.09,52,45,1.48,BR,1704566569
322,trujillo,-8.116,-79.03,23.98,73,40,6.69,PE,1704566565
323,kalmunai,7.4167,81.8167,25.64,86,32,1.17,LK,1704566570
324,namibe,-15.1961,12.1522,22.87,78,99,5.9,AO,1704566570
325,san giovanni valdarno,43.5667,11.5333,11.25,93,100,1.35,IT,1704566571
326,ghanzi,-21.5667,21.7833,28.73,36,68,1.38,BW,1704566571
327,jackson,42.4165,-122.8345,3.36,95,100,0.45,US,1704566543
328,mount gambier,-37.8333,140.7667,18.33,99,100,1.01,AU,1704566572
329,shinkafi,13.0753,6.5105,24.37,12,82,4.19,NG,1704566573
330,vinales,22.6164,-83.7078,29.14,56,0,6.85,CU,1704566573
331,ituiutaba,-18.9689,-49.465,32.76,40,89,0.77,BR,1704566574
332,tongliao,43.6125,122.2653,-18.14,79,0,4.21,CN,1704566358
333,magadan,59.5667,150.8,-31.53,83,1,3.43,RU,1704566575
334,guerrero negro,27.9769,-114.0611,18.31,29,0,2.04,MX,1704566575
335,bechar,31.6167,-2.2167,13.18,26,42,2.57,DZ,1704566576
336,waddan,29.1614,16.139,17.4,24,0,5.29,LY,1704566576
337,coronel suarez,-37.4547,-61.9334,28.38,50,100,2.33,AR,1704566577
338,puerto baquerizo moreno,-0.9,-89.6,25.55,94,100,5.14,EC,1704566511
339,bartica,6.4,-58.6167,32.18,48,93,2.81,GY,1704566578
340,strelka,58.0728,93.0344,-5.41,93,100,4.72,RU,1704566578
341,betio village,1.358,172.9211,28.02,75,100,4.29,KI,1704566579
342,fortuna,40.5982,-124.1573,9.19,96,100,2.57,US,1704566579
343,cedeira,43.6797,-8.0209,9.66,69,100,2.46,ES,1704566579
344,saldanha,-33.0117,17.9442,21.03,87,42,3.1,ZA,1704566580
345,mpika,-11.8343,31.4529,17.52,98,99,1.22,ZM,1704566580
346,inirida,3.8653,-67.9239,35.71,37,19,1.17,CO,1704566581
347,nizhniy lomov,53.5304,43.6766,-21.67,100,79,1.91,RU,1704566581
348,nikolayevsk-on-amure,53.1406,140.73,-26.21,100,61,1.52,RU,1704566284
349,hermanus,-34.4187,19.2345,18.93,80,100,5.11,ZA,1704566582
350,guozhen,34.3659,107.359,1.3,52,100,0.71,CN,1704566583
351,suva,-18.1416,178.4415,23.71,100,75,0.0,FJ,1704566583
352,argo,37.6333,22.7333,17.1,76,8,4.37,GR,1704566584
353,qarauyl,48.9451,79.255,-4.69,84,100,2.12,KZ,1704566584
354,arica,-18.475,-70.3042,28.75,57,0,7.72,CL,1704566373
355,mount pearl,47.5166,-52.7813,-8.25,80,75,14.92,CA,1704566585
356,veraval,20.9,70.3667,20.33,36,99,6.33,IN,1704566586
357,taroa,8.7058,171.2275,26.45,70,100,7.75,MH,1704566587
358,carqueiranne,43.0953,6.073,9.76,55,0,5.14,FR,1704566588
359,alta,69.9689,23.2717,-6.41,79,75,1.54,NO,1704566588
360,awjilah,29.1081,21.2869,18.49,23,0,5.21,LY,1704566589
